Wydarzenie,Data,Godzina,Miejsce,Miejsce_dokladne,Latitude,Longitude,Kategorie
Dni Białołęki 2025,07.06.2025,11:00,Białołęka,"Różne lokalizacje, wskazane poniżej ;)",,,"dla dzieci, impreza, koncert, sport, targi, garażówka, warsztaty"
66. sezon Koncertów Chopinowskich w Łazienkach Królewskich [godz. 12:00 i 16:00],18.05.2025,12:00,Śródmieście,"Pomnik Fryderyka Chopina, Łazienki Królewskie w Warszawie",,,koncert
Express Human Rights Through Music,25.05.2025,13:00,Śródmieście,"ul. Chmielna 26/22, Dunaj Instytut Dialogu",52.2321176,21.0134671,"spotkanie, warsztaty, inne, po angielsku"
VI Bródnowski Festiwal Streetfoodu,18.05.2025,Brak,Targówek,Park Bródnowski,52.290394,21.0369106,inne
Adoptuj flaminga! 😉,Brak,Brak,Brak,Brak szczegółowych danych,,,Brak
Święto Saskiej Kępy 2025,24.05.2025,11:00,Praga-Południe,ul. Francuska,52.2360107,21.0533426,"dla dzieci, impreza, koncert, sport, targi, garażówka, warsztaty"
Festiwal 39. Warszawskie Spotkania Muzyczne,17.05.2025,Brak,Mokotów,"różne lokalizacje, wskazane poniżej :)",,,koncert
MEETUP 404: GOV & NGOs – edycja o marketingu dla sektora publicznego,22.05.2025,17:00,Praga-Północ,"Przestrzenie Bruna, ul. Białostocka 22",52.254878,21.0402217,"spotkanie, wykład"
Tradycyjny Jam Session Mistrzów w Noc Muzeów,Brak,20:00,Praga-Południe,"PROM Kultury Saska Kępa, ul. Brukselska 23",52.2256799,21.0600276,koncert
Festiwal Grzesiuka 2025,18.05.2025,20:30,Mokotów,"Różne lokalizacje, wskazane poniżej :)",,,"dla dzieci, impreza, koncert, spacer, spotkanie, teatr, warsztaty"
Koncert ŁONA x KONIECZNY x KRUPA | Wielkie Otwarcie Pokoju na lato,Brak,21:30,Śródmieście,"Pokój na lato, ul. Grzybowska 79",52.2328232,20.9810095,"impreza, koncert"
Noc Muzeów 2025 w Warszawie,Brak,19:00,Śródmieście,różne lokalizacje w kilku dzielnicach :),,,"dla dzieci, dla seniorów, film, impreza, koncert, slajdowisko, spacer, spotkanie, stand-up, kabaret, impro, teatr, warsztaty, wykład, wystawa, inne"
Inny Wymiar Słuchania – o muzyce i z muzyką / Sulamita Ślubowska,19.05.2025,19:00,Praga-Południe,"PROM Kultury Saska Kępa, ul. Brukselska 23",52.2256799,21.0600276,"koncert, spotkanie"
IV Wilanowski Festiwal Streetfoodu,23.05.2025,15:00,Brak,Plaża Wilanów,52.1657208,21.0825203,inne
Dni Bemowa 2025,13.06.2025,12:00,Bemowo,"Lotnisko Bemowo,",52.2648712,20.9223201,"impreza, koncert"
V Ochocki Festiwal Streetfoodu,18.05.2025,12:00,Ochota,Park Szczęśliwicki,52.2053034,20.9593665,inne
CYBER-WAWER 5,07.06.2025,14:00,Wawer,"Biblioteka Publiczna w Dzielnicy Wawer m.st. Warszawy, ul. Walcownicza 2",52.1610071,21.213256,"dla dzieci, dla seniorów, film, impreza, spotkanie, warsztaty, wykład, inne"
Mecz Polonia Warszawa - ŁKS Łódź + atrakcje z okazji Dnia Dziecka,Brak,15:30,Śródmieście,"Stadion Polonii Warszawa, Konwiktorska 6",52.2554353,21.0008517,"dla dzieci, impreza, sport"
Koncert Viki Gabor - Dni Konstancina-Jeziorny 2025,08.06.2025,21:00,okolice Warszawy,"Amfiteatr, Park Zdrojowy, Konstancin-jeziorna",,,koncert
Warszawa Ja i Ty | Pokazy w Multimedialnym Parku Fontann,17.05.2025,Brak,Śródmieście,Multimedialny Park Fontann w Warszawie,,,"dla dzieci, inne"
Noc Muzeów z Martą Janik w Galerii Środek,Brak,18:00,Praga-Północ,"Środek, Targowa 48",52.2514228,21.0397772,"spotkanie, targi, garażówka, warsztaty, wystawa"
"Spacer po powojennych osiedlach Praga I, II i III",18.05.2025,15:00,Praga-Północ,"Pomnik Ofiar Rzezi Pragi, ul. Świętych Cyryla i Metodego",,,spacer
Co nas łączy? - Noc Muzeów w Centrum Myśli Jana Pawła II,Brak,13:00,Śródmieście,Foksal 11,52.2336655,21.0221229,"dla dzieci, dla seniorów, impreza, koncert, spotkanie, warsztaty, wystawa, inne"
Uprzejmość i życzliwość na co dzień - polepszanie jakości kontaktów z innymi ludźmi - prelekcja,21.05.2025,18:30,Śródmieście,"Klub Boho22, Żurawia 22",52.2288697,21.0153776,"spotkanie, wykład"
Mental Health Academy,27.05.2025,9:30,Ochota,"UCS (Dentistry Building), Aula 5.63, Uniwersyteckie Centrum Stomatologii CMWUM",,,"spotkanie, warsztaty, wykład, po angielsku"
DJ sety w adidas Brand Center,17.05.2025,Brak,Śródmieście,"adidas Brand Center, Marszałkowska 104/122",52.231713,21.0112173,"impreza, spotkanie, warsztaty, inne"
Międzynarodowe Targi Książki w Warszawie 2025,18.05.2025,Brak,Śródmieście,Plac Defilad,52.2317625,21.0057792,"impreza, spotkanie, targi, garażówka, inne"
MOKOTONALIA 2025,23.05.2025,15:00,Mokotów,Metro Wilanowska,52.179778,21.0237251,"dla dzieci, impreza, koncert, inne"
86. Myśli Gonitwa w Składzie Butelek,21.05.2025,19:00,Praga-Północ,"Skład Butelek, ul. 11 Listopada 22",52.2591563,21.0363849,"spotkanie, wykład"
Dni Ursynowa 2025,13.06.2025,18:00,Ursynów,Kopa Cwila,52.1643056,21.0222367,"dla dzieci, impreza, koncert"
XIX Bemowski Festiwal Streetfoodu,23.05.2025,15:00,Bemowo,Park Górczewska,52.2334519,20.9066377,inne
KINO LETNIE W CHONO LULU 2025,20.05.2025,20:00,Ochota,"Chono Lulu Bistro & Bar, Park Pięciu Sióstr",,,film
XI Festiwal Muzyki Etnicznej KORZENIE EUROPY 2025,01.06.2025,14:00,Targówek,Park Bródnowski,52.290394,21.0369106,"dla dzieci, impreza, koncert, warsztaty"
To był maj... Dwuczęściowy spacer po Saskiej Kępie | część 1.,Brak,13:00,Praga-Południe,Rondo Waszyngtona,52.238013,21.0513492,spacer
Lato to idealny czas na lasery – sprawdź nową promocję w Klinice Ambroziak,Brak,Brak,Brak,waw4free,,,Brak
"Zamieszkaj w centrum, odpoczywaj nad jeziorem – dwa sposoby na życie z Novdom",Brak,Brak,Brak,waw4free,,,Brak
Brygada Porządkowa podejmuje wyzwanie ochrony wody – przedostatni etap projektu przed czerwcowym finałem!,Brak,Brak,Brak,waw4free,,,Brak
Nie jesteś sam/a – pierwsza pomoc psychologiczna dla dzieci i młodzieży na Pradze-Północ,Brak,Brak,Brak,waw4free,,,Brak
Bezpłatny Trening Umiejętności Społecznych dla młodzieży (15–19 lat),Brak,Brak,Brak,waw4free,,,Brak
Bezpłatne zajęcia z tenisa stołowego na Ursynowie,Brak,Brak,Brak,waw4free,,,Brak
Zobacz kolejne informacje >>,Brak,Brak,Brak,Brak szczegółowych danych,,,Brak
Dzisiejsze wydarzenia,Brak,Brak,Brak,Brak szczegółowych danych,,,Brak
Wyszukiwarka wydarzeń,Brak,Brak,Brak,Brak szczegółowych danych,,,Brak
Miejsca polecane przez waw4free,Brak,Brak,Brak,Brak szczegółowych danych,,,Brak
Newsletter waw4free,Brak,Brak,Brak,Brak szczegółowych danych,,,Brak
Kanał waw4free,Brak,Brak,Brak,Brak szczegółowych danych,,,Brak
Darmowy coworking w Warszawie,Brak,Brak,Brak,waw4free,,,Brak
Adoptuj flaminga! 😉,Brak,Brak,Brak,Brak szczegółowych danych,,,Brak
